,ID_HECHO,NUM_VICTIMAS,FECHA,AÑO,MES,DÍA,HORA,HH,TIPO_DE_CALLE,CALLE,COMUNA,POS X,POS Y,VICTIMA,ACUSADO
0,2016-0001,1,1/1/2016,2016,1,1,4:00:00,4,AVENIDA,PIEDRA BUENA AV.,8,-58.47533969,-34.68757022,MOTO,AUTO
1,2016-0002,1,1/2/2016,2016,1,2,1:15:00,1,GRAL PAZ,"PAZ, GRAL. AV.",9,-58.50877521,-34.66977709,AUTO,PASAJEROS
2,2016-0003,1,1/3/2016,2016,1,3,7:00:00,7,AVENIDA,ENTRE RIOS AV.,1,-58.39040293,-34.63189362,MOTO,AUTO
3,2016-0004,1,1/10/2016,2016,1,10,0:00:00,0,AVENIDA,LARRAZABAL AV.,8,-58.46503904,-34.68092974,MOTO,AUTO
4,2016-0005,1,1/21/2016,2016,1,21,5:20:00,5,AVENIDA,SAN JUAN AV.,1,-58.38718297,-34.6224663,MOTO,PASAJEROS
5,2016-0008,1,1/24/2016,2016,1,24,18:30:00,18,AVENIDA,27 DE FEBRERO AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO
6,2016-0009,1,1/24/2016,2016,1,24,19:10:00,19,CALLE,NOGOYA,11,-58.50095869,-34.6082544,MOTO,AUTO
7,2016-0010,1,1/29/2016,2016,1,29,15:20:00,15,GRAL PAZ,"PAZ, GRAL. AV.",9,-58.50877521,-34.66977709,MOTO,AUTO
8,2016-0012,1,2/8/2016,2016,2,8,1:20:00,1,AVENIDA,BELGRANO AV.,1,-58.38048577,-34.61303893,MOTO,CARGAS
9,2016-0013,1,2/10/2016,2016,2,10,11:30:00,11,AVENIDA,ENTRE RIOS AV.,1,-58.39114932,-34.62477387,PEATON,AUTO
10,2016-0015,1,2/14/2016,2016,2,14,5:14:00,5,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",15,-58.4376002,-34.59912758,PEATON,AUTO
11,2016-0016,1,2/14/2016,2016,2,14,22:00:00,22,AVENIDA,REGIMIENTO DE PATRICIOS AV.,4,-58.36882665,-34.64291993,MOTO,AUTO
12,2016-0017,1,2/15/2016,2016,2,15,16:54:00,16,AVENIDA,"ACOSTA, MARIANO",8,-58.44989671,-34.65970435,PEATON,MOTO
13,2016-0019,1,2/17/2016,2016,2,17,9:30:00,9,CALLE,"DE LA TORRE, LISANDRO",9,-58.50990884,-34.65468721,PEATON,PASAJEROS
14,2016-0020,1,2/17/2016,2016,2,17,16:00:00,16,CALLE,SUIPACHA,1,-58.37952223,-34.60653282,PEATON,AUTO
15,2016-0021,1,2/17/2016,2016,2,17,23:35:00,23,AVENIDA,DIRECTORIO AV.,7,-58.45157703,-34.63063795,AUTO,AUTO
16,2016-0022,1,2/21/2016,2016,2,21,6:00:00,6,AVENIDA,9 DE JULIO AV.,1,-58.38144696,-34.61079875,MOTO,AUTO
17,2016-0025,1,2/28/2016,2016,2,28,4:50:00,4,GRAL PAZ,"PAZ, GRAL. AV.",8,-58.46244952,-34.70524971,AUTO,AUTO
18,2016-0026,1,2/28/2016,2016,2,28,7:30:00,7,CALLE,HOLMBERG,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO
19,2016-0027,1,2/28/2016,2016,2,28,9:35:00,9,AVENIDA,CURAPALIGUE AV.,7,-58.44497874,-34.63852623,AUTO,AUTO
20,2016-0028,1,3/2/2016,2016,3,2,10:00:00,10,AVENIDA,VIAMONTE,1,-58.38199706,-34.60028648,PEATON,CARGAS
21,2016-0029,1,3/4/2016,2016,3,4,17:30:00,17,AVENIDA,CABILDO AV.,12,-58.47378664,-34.54153077,PEATON,PASAJEROS
22,2016-0031,1,3/8/2016,2016,3,8,12:30:00,12,GRAL PAZ,"PAZ, GRAL. AV.",8,-58.47064556,-34.69843756,MOTO,PASAJEROS
23,2016-0034,1,3/12/2016,2016,3,12,12:30:00,12,AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.40623949,-34.65076549,PEATON,PASAJEROS
24,2016-0035,1,3/13/2016,2016,3,13,6:00:00,6,AVENIDA,CORRIENTES AV.,3,-58.39228965,-34.60443527,MOTO,PASAJEROS
25,2016-0036,1,3/14/2016,2016,3,14,0:15:00,0,CALLE,HERRERA,4,-58.37813396,-34.63668504,MOTO,PASAJEROS
26,2016-0037,1,3/19/2016,2016,3,19,11:00:00,11,AVENIDA,LAFUENTE AV.,7,-58.46275892,-34.64358293,MOTO,MOTO
27,2016-0038,1,3/21/2016,2016,3,21,8:06:00,8,GRAL PAZ,"PAZ, GRAL. AV.",8,-58.49683458,-34.67892743,PEATON,PASAJEROS
28,2016-0039,1,3/23/2016,2016,3,23,1:50:00,1,AVENIDA,"MITRE, BARTOLOME",3,-58.40603217,-34.6088396,MOTO,PASAJEROS
29,2016-0041,2,3/29/2016,2016,3,29,11:00:00,11,AVENIDA,DIRECTORIO AV.,7,-58.4607655,-34.63350444,MOTO,CARGAS
30,2016-0043,1,3/30/2016,2016,3,30,18:15:00,18,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",8,-58.47832463,-34.67494416,PEATON,CARGAS
31,2016-0044,1,3/31/2016,2016,3,31,19:40:00,19,AVENIDA,"MORENO, JOSE MARIA AV.",7,-58.43213235,-34.63693953,MOTO,MULTIPLE
32,2016-0045,1,4/11/2016,2016,4,11,10:25:00,10,GRAL PAZ,"PAZ, GRAL. AV.",13,-58.46743471,-34.53476874,MOTO,AUTO
33,2016-0047,1,4/15/2016,2016,4,15,5:30:00,5,CALLE,LIMA,1,-58.38247061,-34.62571878,PEATON,PASAJEROS
34,2016-0048,1,4/15/2016,2016,4,15,17:40:00,17,AVENIDA,CORRIENTES AV.,15,-58.44759966,-34.5917024,PEATON,PASAJEROS
35,2016-0049,1,4/17/2016,2016,4,17,0:00:00,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,MOTO,AUTO
36,2016-0050,1,4/19/2016,2016,4,19,9:50:00,9,AVENIDA,"GORDILLO, TIMOTEO",8,-58.47305463,-34.68550712,PEATON,PASAJEROS
37,2016-0051,1,4/20/2016,2016,4,20,4:00:00,4,AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.40623949,-34.65076549,MOTO,CARGAS
38,2016-0052,1,4/20/2016,2016,4,20,20:00:00,20,AUTOPISTA,"LUGONES, LEOPOLDO AV.",13,0.0,0.0,MOTO,AUTO
39,2016-0053,1,4/22/2016,2016,4,22,9:30:00,9,AVENIDA,TRIUNVIRATO AV.,12,-58.4842918,-34.57558053,PEATON,PASAJEROS
40,2016-0054,1,4/23/2016,2016,4,23,21:00:00,21,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.48695354,-34.68795245,MOTO,MOTO
41,2016-0055,1,4/25/2016,2016,4,25,20:30:00,20,AVENIDA,"CASTILLA, RAMON, MARISCAL",14,-58.40021959,-34.57964781,PEATON,CARGAS
